"id","model","status","date","link"
"24587","Unknown T-72 Obr. 2022 variant","Destroyed","06 Mar 2024","/view/24587/135234/"
"24571","T-54B","Destroyed","05 Mar 2024","/view/24571/135105/"
"24568","T-72B Obr. 1989","Destroyed","05 Mar 2024","/view/24568/135092/"
"24578","T-72B3 Obr. 2016","Destroyed","04 Mar 2024","/view/24578/134656/"
"24511","T-90M 'Proryv'","Abandoned","04 Mar 2024","/view/24511/134616/"
"24510","T-90M 'Proryv'","Abandoned","04 Mar 2024","/view/24510/134575/"
"24509","T-90M 'Proryv'","Abandoned","04 Mar 2024","/view/24509/134576/"
"24556","T-80BV","Destroyed","03 Mar 2024","/view/24556/134312/"
"24533","T-72 *","Destroyed","03 Mar 2024","/view/24533/134850/"
"24481","T-72B3","Destroyed","01 Mar 2024","/view/24481/133716/"
"24431","Unknown tank","Abandoned","01 Mar 2024","/view/24431/133964/"
"24449","T-80BV","Destroyed","29 Feb 2024","/view/24449/134152/"
"24443","T-80BV","Destroyed","29 Feb 2024","/view/24443/134004/"
"24418","T-72B3","Abandoned","29 Feb 2024","/view/24418/135329/"
"24415","T-80BV","Destroyed","29 Feb 2024","/view/24415/133484/"
"24360","T-90M 'Proryv'","Abandoned","29 Feb 2024","/view/24360/133736/"
"23593","T-80BV","Destroyed","29 Feb 2024","/view/23593/133592/"
"24478","T-62 Obr. 1972","Destroyed","28 Feb 2024","/view/24478/134193/"
"24463","T-80BVM","Destroyed","28 Feb 2024","/view/24463/133612/"
"24502","Unknown tank","Destroyed","27 Feb 2024","/view/24502/134536/"
"24391","T-80BVM Obr. 2022","Destroyed","27 Feb 2024","/view/24391/133909/"
"24371","T-72AV","Destroyed","27 Feb 2024","/view/24371/133166/"
"24370","T-80BV","Destroyed","27 Feb 2024","/view/24370/133161/"
"24369","T-72B3","Destroyed","27 Feb 2024","/view/24369/133156/"
"24302","Unknown tank","Destroyed","27 Feb 2024","/view/24302/133050/"
"24035","T-72 *","Destroyed","27 Feb 2024","/view/24035/133945/"
"24032","T-80BV","Destroyed","27 Feb 2024","/view/24032/133952/"
"24350","T-80BV","Destroyed","26 Feb 2024","/view/24350/132850/"
"24340","T-80BV","Abandoned","26 Feb 2024","/view/24340/132749/"
"24500","Unknown tank","Destroyed","25 Feb 2024","/view/24500/134537/"
"24378","T-72B Obr. 2022","Destroyed","25 Feb 2024","/view/24378/133622/"
"24495","T-90M 'Proryv'","Destroyed","24 Feb 2024","/view/24495/134472/"
"24494","T-80BVM Obr. 2022","Destroyed","24 Feb 2024","/view/24494/134542/"
"24472","T-80BV","Destroyed","23 Feb 2024","/view/24472/133711/"
"24258","Unknown tank","Damaged","23 Feb 2024","/view/24258/132099/"
"24255","T-80BV","Destroyed","23 Feb 2024","/view/24255/132086/"
"24213","T-72 *","Destroyed","22 Feb 2024","/view/24213/132038/"
"24367","T-90M 'Proryv'","Damaged","21 Feb 2024","/view/24367/133149/"
"24208","T-80BV","Destroyed","21 Feb 2024","/view/24208/131472/"
"24201","T-80BV","Destroyed","21 Feb 2024","/view/24201/131415/"
"24200","T-80BV","Destroyed","21 Feb 2024","/view/24200/131415/"
"24198","Unknown tank","Destroyed","21 Feb 2024","/view/24198/131405/"
"24176","Unknown tank","Abandoned","21 Feb 2024","/view/24176/131267/"
"24172","T-72B","Abandoned","21 Feb 2024","/view/24172/131265/"
"24070","T-80 *","Destroyed","20 Feb 2024","/view/24070/130982/"
"24230","T-80BV","Destroyed","19 Feb 2024","/view/24230/131594/"
"24239","T-54-3M","Destroyed","18 Feb 2024","/view/24239/132373/"
"24123","T-62 *","Destroyed","18 Feb 2024","/view/24123/131211/"
"24096","T-80BV","Destroyed","18 Feb 2024","/view/24096/130525/"
"24088","T-72B3","Abandoned","18 Feb 2024","/view/24088/130501/"
"24077","T-80BV","Destroyed","18 Feb 2024","/view/24077/130301/"
"24235","T-54-3M","Abandoned","17 Feb 2024","/view/24235/131653/"
"24034","T-80BV","Destroyed","17 Feb 2024","/view/24034/133946/"
"23152","T-80BV","Destroyed","17 Feb 2024","/view/23152/130150/"
